TIMESTAMP	RTD ºC 
15/06/2023 03:54:20	-18,4
16/06/2023 09:01:20	-79,4
17/06/2023 13:29:20	-79,3
18/06/2023 18:28:20	-79,4
19/06/2023 21:45:20	-79,3
21/06/2023 01:37:54	-79,3
22/06/2023 05:06:54	-79,3
23/06/2023 08:03:54	-79,3
24/06/2023 12:50:54	-5,3
25/06/2023 17:27:54	-79,3
26/06/2023 20:34:54	-39,3
28/06/2023 00:00:54	-79,3
29/06/2023 03:24:54	-79,3
30/06/2023 07:22:54	-79,3
30/06/2023 12:05:54	-39,5
30/06/2023 12:40:54	-70,2
30/06/2023 15:27:54	-74,2
30/06/2023 15:59:29	-77,8
30/06/2023 19:05:05	-77,4
01/07/2023 22:48:05	-50,3
03/07/2023 02:22:05	-50,3
04/07/2023 06:51:05	-50,3
05/07/2023 09:33:05	-50,3
06/07/2023 14:15:05	-50,3
07/07/2023 17:27:05	-50,3
08/07/2023 21:35:05	-50,4
10/07/2023 02:00:05	-50,4
11/07/2023 05:54:05	-50,3
11/07/2023 16:30:51	-76,9
12/07/2023 19:47:51	-79,3
13/07/2023 23:29:51	-79,3
15/07/2023 03:01:51	-79,3
16/07/2023 05:58:51	-79,3
17/07/2023 10:06:51	-79,3
18/07/2023 14:38:51	-79,3
19/07/2023 17:33:51	-79,3
20/07/2023 22:11:51	-79,3
22/07/2023 02:16:51	-79,3
23/07/2023 05:30:51	-79,3
24/07/2023 09:15:51	-79,3
25/07/2023 12:50:51	-79,3
26/07/2023 16:08:50	-79,3
27/07/2023 20:46:50	-79,3
29/07/2023 00:16:50	-79,3
30/07/2023 04:34:50	-79,4
31/07/2023 09:10:50	-79,3
01/08/2023 12:58:50	-79,3
02/08/2023 17:04:50	-79,3
03/08/2023 20:18:50	-79,3
05/08/2023 00:53:50	-79,4
06/08/2023 04:34:50	-79,4
07/08/2023 07:19:50	 20,4
08/08/2023 11:57:50	-79,3
09/08/2023 15:40:50	-79,3
10/08/2023 18:42:50	-79,3
11/08/2023 23:04:50	-79,3
13/08/2023 02:57:50	-79,3
14/08/2023 07:04:50	-79,4
15/08/2023 09:51:50	-79,4
16/08/2023 13:45:50	-79,3
17/08/2023 17:28:50	-79,3
18/08/2023 20:44:50	-79,3
20/08/2023 00:04:50	-79,3
21/08/2023 04:38:50	-79,4
22/08/2023 09:06:50	-79,3
23/08/2023 13:44:50	-79,3
24/08/2023 17:02:50	-79,3
25/08/2023 20:14:50	-79,3
27/08/2023 01:01:50	-79,3
28/08/2023 04:41:50	-79,4
29/08/2023 08:22:50	-79,4
30/08/2023 11:36:50	-79,4
	
	
	
	
	
	
	
	
	
	
	
